step,tokens_per_second,model
1282,1148929.37819074,LN
1283,1150346.1929394566,LN
1284,1146562.740781886,LN
1285,1139793.4479511925,LN
1286,1149364.9493316088,LN
1289,1148698.1152732573,LN
1293,1152372.490407653,LN
1294,1148910.9697730066,LN
1295,1151574.301967972,LN
1297,1153848.6693112033,LN
1298,1151903.2597724784,LN
1299,1155067.2839548022,LN
1300,1146530.061233825,LN
1301,1149048.6470136198,LN
1304,1149453.0645234133,LN
1305,1153466.9676319296,LN
1308,1151459.3317061455,LN
1309,1152670.4852130555,LN
1312,1144660.867943935,LN
1314,1149630.1367998344,LN
1315,1153864.8144838675,LN
1317,1159126.2642997806,LN
1318,1154394.6267157374,LN
1320,1148105.5791138536,LN
1324,1148258.2526218025,LN
1328,1150039.7753455834,LN
1329,1152655.9846020627,LN
1331,1157126.4989963607,LN
1332,1145260.9866562968,LN
1333,1159165.368760042,LN
1337,1153022.6398077162,LN
1338,1156562.54499554,LN
1339,1153572.6567625187,LN
1340,1138398.563782432,LN
1341,1153629.139810609,LN
1342,1155285.7426701337,LN
1345,1157958.421123803,LN
1349,1158991.8628380927,LN
1350,1158154.3892228352,LN
1356,1146543.6110642634,LN
1358,1143799.54620506,LN
1360,1145211.6816702797,LN
1361,1142124.2848435114,LN
1362,1145229.1765019582,LN
1363,1150488.2271360976,LN
1365,1129419.406609285,LN
1366,1122369.8113540362,LN
1369,1119721.1006818395,LN
1375,1088544.9007492517,LN
1376,1089229.303154224,LN
1377,1093910.8044571793,LN
1379,1092103.5255278363,LN
1381,1090528.5803501292,LN
1385,1094963.8778035226,LN
1386,1121944.5347671576,LN
1389,1083477.6038754485,LN
1392,1092962.595901359,LN
1395,1100620.319310986,LN
1396,1087668.3694571047,LN
1397,1085478.5609401655,LN
1398,1085504.9949906375,LN
1399,1087242.459039888,LN
1405,1094288.9513740754,LN
1408,1094161.9054993785,LN
1409,1090448.5464238229,LN
1411,1098116.2880126983,LN
1412,1095765.570545495,LN
1418,1126883.6311772966,LN
1419,1088854.644419518,LN
1420,1085034.375778118,LN
1423,1092181.6327778834,LN
1425,1106581.9487069382,LN
1426,1085749.3923119816,LN
1427,1082926.9623236672,LN
1429,1088735.325523964,LN
1432,1082902.7867677475,LN
1433,1105447.1419635832,LN
1437,1090634.589308753,LN
1438,1095969.4544990591,LN
1439,1093337.913027107,LN
1442,1134303.748554152,LN
1445,1098919.6763769917,LN
1447,1092612.8701140997,LN
1448,1087956.0835604763,LN
1449,1084050.1813889104,LN
1451,1109697.9148355806,LN
1452,1095617.0742826166,LN
1458,1089819.499692072,LN
1459,1093895.567930246,LN
1460,1106934.7320893914,LN
1462,1096264.4923496605,LN
1463,1096653.0189067165,LN
1465,1094583.0850052496,LN
1466,1080313.732539616,LN
1467,1087590.906381455,LN
1468,1117967.027465399,LN
1470,1126257.2337243296,LN
1471,1100817.931721643,LN
1472,1069082.6837104445,LN
1477,1073731.338342399,LN
1478,1080111.3871149002,LN
1480,1075117.918940519,LN
1483,1136981.22297281,LN
1484,1139495.774851696,LN
1487,1145581.572577738,LN
1488,1144101.8534108335,LN
1489,1146279.0487801996,LN
1490,1138762.493398458,LN
1492,1145361.200193895,LN
1493,1148810.9343382348,LN
1497,1149614.1099142844,LN
1498,1142162.2505354965,LN
1500,1148518.1307357403,LN
1503,1148115.969216825,LN
1505,1144937.40079848,LN
1506,1146428.846162241,LN
1507,1146980.5654580467,LN
1508,1137695.7303415432,LN
1509,1149970.0119608168,LN
1513,1152833.2393163529,LN
1514,1147671.7604155722,LN
1515,1152598.7913051257,LN
1519,1148070.414006833,LN
1521,1148569.320597354,LN
1525,1148056.0289020962,LN
1528,1149971.615621738,LN
1529,1150546.8164278977,LN
1530,1144830.1092611386,LN
1531,1148299.8252165855,LN
1532,1151907.2824243542,LN
1534,1150371.8688412074,LN
1535,1150615.8470856957,LN
1539,1153016.1911081842,LN
1540,1151678.8403126977,LN
1541,1151185.2644707186,LN
1545,1152854.191202961,LN
1546,1154502.102241919,LN
1547,1155628.970587741,LN
1548,1145148.8637257754,LN
1551,1154947.5712667068,LN
1554,1156403.6012127297,LN
1555,1154338.0686863258,LN
1559,1149328.1051663293,LN
1565,1156710.9860354532,LN
1568,1155659.7415385651,LN
1569,1157982.8118790193,LN
1573,1153619.4566095383,LN
1576,1154226.5848019517,LN
1577,1152711.5722588925,LN
1579,1156044.516733291,LN
1580,1155808.7609020153,LN
1581,1158657.2164869364,LN
